Date;Open;High;Low;Close;Med_21;Med_7;Med_43;Med_put_strong;Med_put_weak;Med_call_strong;Med_call_weak;%K;%D;over_call;over_put;bollinger_up;bollinger_down;bollinger_up_REVERSE;bollinger_down_REVERSE;RSI;RSI_up_REVERSE;RSI_down_REVERSE;SAR_bear;SAR_bull;Movimento;PIP
2023-01-18 15:55:00;1,0867;1,0867;1,08535;1,08582;1,083798095;1,085325714;1,083888837;0;0;1;0;79,29515419;89,34558574;0;0;1,086460374;1,081272626;0;0;62,56921171;0;0;0;0;1;-0,085
2023-01-18 16:00:00;1,08581;1,08604;1,08521;1,08595;1,083965714;1,0856;1,083897907;0;0;1;0;82,15859031;86,49045521;1;0;1,086736542;1,081274458;0;0;63,30166615;0;0;0;0;1;0,013
2023-01-18 16:05:00;1,08596;1,08638;1,08586;1,08622;1,084110952;1,085832857;1,083902791;0;0;1;0;88,10572687;83,18649046;1;0;1,087031308;1,081275692;0;0;64,84052614;0;0;0;0;1;0,027
2023-01-18 16:10:00;1,0862;1,0868;1,0855;1,08656;1,084268095;1,086124286;1,08391907;0;0;1;0;93,16239316;87,80890345;1;0;1,087311509;1,081405491;0;0;66,73232536;0;0;0;0;1;0,034
2023-01-18 16:15:00;1,08656;1,08834;1,08655;1,0876;1,084512857;1,086411429;1,083962791;0;0;1;0;85,22954092;88,83255365;1;0;1,087736339;1,081518661;0;0;71,74105632;0;0;0;0;1;0,104
2023-01-18 16:20:00;1,08761;1,08839;1,08712;1,08826;1,084800476;1,086725714;1,084025814;0;0;1;0;97,35772358;91,91655255;1;0;1,088249109;1,081585891;1;0;74,37751949;0;0;0;0;0;0,066
2023-01-18 16:25:00;1,08829;1,08873;1,08758;1,08787;1,085058095;1,086897143;1,084084419;0;0;1;0;83,65019011;88,7458182;1;0;1,088603719;1,081728281;0;0;70,20916226;0;0;0;0;0;-0,039
2023-01-18 16:30:00;1,08786;1,08849;1,08729;1,08737;1,085270952;1,087118571;1,084133721;0;0;1;0;72,58064516;84,52951962;0;0;1,088823176;1,081916824;0;0;65,16673885;0;0;0;0;0;-0,05
2023-01-18 16:35:00;1,08738;1,08742;1,08478;1,0861;1,085404762;1,08714;1,084154419;0;0;1;0;45,54865424;67,25982984;0;0;1,088722882;1,082387118;0;0;54,46650174;0;0;0;0;1;-0,127
2023-01-18 16:40:00;1,08611;1,08723;1,08569;1,08616;1,08558381;1,087131429;1,084186279;0;0;1;0;46,79089027;54,97339656;0;0;1,088704288;1,082679712;0;0;54,8437416;0;0;0;0;1;0,006
2023-01-18 16:45:00;1,08616;1,08671;1,08489;1,08652;1,085731429;1,087125714;1,084233256;0;0;1;0;48,96073903;47,10009451;0;0;1,088676832;1,083020168;0;0;57,13826374;0;0;0;0;0;0,036
2023-01-18 16:50:00;1,0865;1,08677;1,08577;1,08604;1,085857619;1,086902857;1,084275116;0;0;1;0;31,89873418;42,55012116;0;0;1,08862321;1,08329479;0;0;53,25282243;0;0;0;0;1;-0,048
